nome	squadra	ruolo	qt	ia	fascia	note	valore	sos	prezzoMedioAste	prezzoStat	prezzoGolMax	fv	pg	media	fmedia	gol	assist	amm	golSubiti	accoppiata
Svilar	Roma	P	19	81.51	0° TOP A	Titolare		Mod.	52.35	47.5		0.85	38	6.26	5.45				31	Lazio Napoli Juventus
Carnesecchi	Atalanta	P	17	79.9	0° TOP A	Mod.		Titolare	42.25	47.5		0.84	37	6.36	5.58				35	Frosinone Bologna Cagliari
Martinez Jo.	Inter	P	17	79.9	0° TOP B	Mod.		Imbattibilità	45.7	42.5		0.75	5	6	5.2				4	Milan Sassuolo Juventus
Vicario	Juventus	P	17	79.9	0° TOP B	titolare		mod.	46.05	42.5										Torino Genoa Roma
Butez	Como	P	15	78.3	1° Fascia A	Mod.		Titolare	39.5	35		0.83	38	6.07	5.37				29	Fiorentina Frosinone Genoa
Maignan	Milan	P	15	78.3	1° Fascia A	Titolare		Mod.	44.6	35		0.81	37	6.26	5.42				35	Inter Parma Cagliari
De Gea	Fiorentina	P	11	74.47	1° Fascia A	Titolare		Mod.	21.05	35		0.77	37	6.24	5				49	Cagliari Como Lazio
Meret	Napoli	P	11	74.47	1° Fascia B	Mod.			39.3	30		0.76	11	6.23	5.18				12	Roma Bologna Frosinone
Skorupski	Bologna	P	10	73.3	2° Fascia A	mod.		pararigori	11.6	12.5		0.74	18	6.19	5.28				15	Atalanta Lecce Napoli
Caprile	Cagliari	P	10	73.3	2° Fascia A	Mod.		Titolare	8.1	12.5		0.75	38	6.29	4.87				53	Atalanta Fiorentina Venezia
Mandas	Lazio	P	10	73.3	2° Fascia B	Mod.		Titolare	16.35	10		0. N.D.	0	0	0				0	Roma Genoa Torino
Okoye	Udinese	P	9	72	2° Fascia B	Mod.		Infortuni	13.5	10		0.73	30	6.07	5.08				32	Genoa Lecce Milan
Perri	Torino	P	9	72	2° Fascia C	Scommessa			2.4	7.5										Juventus Lazio Lecce
Sanchez Ro.	Como	P	8	70.48	2° Fascia C				2.9	7.5										Fiorentina Frosinone Genoa
Bijlow	Genoa	P	8	70.48	3° Fascia	Titolare			5.8	5		0.74	16	6.06	4.78				20	Juventus Bologna Como
Falcone	Lecce	P	8	70.48	3° Fascia	Titolare		Mod.	7.7	5		0.77	38	6.41	5.22				50	Parma Bologna Fiorentina
Muric	Sassuolo	P	7	68.81	3° Fascia	Scommessa			3.8	5		0.73	32	6.08	4.77				43	Inter Parma Bologna
Daffara	Parma	P	6	66.78	3° Fascia				1.25	5										Lecce Sassuolo Milan
Stankovic F.	Venezia	P	6	66.78	3° Fascia	Titolare		Mod.	2.1	5										Cagliari Monza Bologna
Palmisani	Frosinone	P	5	64.25	3° Fascia	Scommessa			1.2	5										Atalanta Como Napoli
Milinkovic-Savic V.	Napoli	P	5	64.25	3° Fascia	Imbattibilità		Mod.	5.7	5		0.82	27	6.2	5.65				24	Roma Bologna Frosinone
Thiam	Monza	P	4	60.96	R	Scommessa			1.15	1										Lecce Venezia Atalanta
Desplanches	Frosinone	P	2	49.12	R				0.9	1										Atalanta Como Napoli
Provedel	Inter	P	2	49.12	R	Mod.		Jolly	5.65	1		0.8	27	6.26	5.35				27	Milan Sassuolo Juventus
Corvi	Parma	P	2	49.12	R	Mod.			2.2	1		0.77	17	6.18	5.09				18	Lecce Sassuolo Milan
Ghidotti	Parma	P	1	35.69	R				0.85	1										Lecce Sassuolo Milan
Sportiello	Atalanta	P	1	35.69	R				0.9	1		0.71	1	5.5	4.5				1	Frosinone Bologna Cagliari
Happonen	Bologna	P	1	35.69	R				0.9	1										Atalanta Lecce Napoli
Pessina Mas.	Bologna	P	1	35.69	R				0.9	1		0.77	4	6.12	5.62				2	Atalanta Lecce Napoli
Sherri	Cagliari	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Atalanta Fiorentina Venezia
Tornqvist	Monza	P	1	35.69	R	Scommessa			0.9	1		0. N.D.	0	0	0				0	Lecce Venezia Atalanta
Vigorito	Como	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Fiorentina Frosinone Genoa
Christensen O.	Fiorentina	P	1	35.69	R				0.9	1		0.82	1	7.5	6.5				1	Cagliari Como Lazio
Lezzerini	Fiorentina	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Cagliari Como Lazio
Lolic	Frosinone	P	1	35.69	R				0.85	1										Atalanta Como Napoli
Sommariva	Genoa	P	1	35.69	R				0.9	1		0.69	2	5.75	3.75				4	Juventus Bologna Como
Stolz	Genoa	P	1	35.69	R				0.9	1										Juventus Bologna Como
Di Gennaro	Inter	P	1	35.69	R				0.9	1		0.74	1	6	5				1	Milan Sassuolo Juventus
Pinsoglio	Juventus	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Torino Genoa Roma
Motta	Lazio	P	1	35.69	R	Jolly		Mod.	1	1		0.75	9	6	5.17				10	Roma Genoa Torino
Renzetti	Lazio	P	1	35.69	R				0.9	1										Roma Genoa Torino
Terracciano	Milan	P	1	35.69	R	Mod.			0.9	1		0.78	2	6	6				0	Inter Parma Cagliari
Torriani	Milan	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Inter Parma Cagliari
Strajnar	Monza	P	1	35.69	R				0.8	1										Lecce Venezia Atalanta
Contini	Napoli	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Roma Bologna Frosinone
De Marzi	Roma	P	1	35.69	R				0.9	1										Lazio Napoli Juventus
Gollini	Roma	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Lazio Napoli Juventus
Russo A.	Sassuolo	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Inter Parma Bologna
Turati	Sassuolo	P	1	35.69	R	Mod.		Infortuni	0.9	1		0.75	6	6.17	5				7	Inter Parma Bologna
Mascardi	Torino	P	1	35.69	R	Jolly			1.3	1										Juventus Lazio Lecce
Paleari	Torino	P	1	35.69	R				1.25	1		0.71	29	6.09	4.52				45	Juventus Lazio Lecce
Siviero	Torino	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Juventus Lazio Lecce
Padelli	Udinese	P	1	35.69	R				0.9	1		0.75	2	6.25	5.25				2	Genoa Lecce Milan
Piana	Udinese	P	1	35.69	R				0.9	1										Genoa Lecce Milan
Grandi	Venezia	P	1	35.69	R				0.85	1										Cagliari Monza Bologna
Pozzi	Venezia	P	1	35.69	R				0.85	1										Cagliari Monza Bologna
Satalino	Sassuolo	P	1	35.69	R				0.85	1		0. N.D.	0	0	0				0	Inter Parma Bologna
Penev	Lecce	P	1	35.69	R				0.85	1										Parma Bologna Fiorentina
Pisseri	Frosinone	P	1	35.69	R				0.85	1										Atalanta Como Napoli
Radunovic	Cagliari	P	1	35.69	R				0.9	1		0. N.D.	0	0	0				0	Atalanta Fiorentina Venezia
Montipò	Venezia	P	1	35.69	R	mod.		jolly	0.95	1		0.74	35	6.2	4.94				54	Cagliari Monza Bologna
Bleve	Lecce	P	1	35.69	R				0.9	1										Parma Bologna Fiorentina
Grabara	Juventus	P	1	35.69	R	jolly			1.35	1										Torino Genoa Roma
Mrozek	Udinese	P	1	35.69	R				0.9	1										Genoa Lecce Milan
Dimarco	Inter	D	31	89.28		Mod.	Top	Calci Piazzati	67.15	63.7	30.88	0.92	35	6.6	7.64	7	17	3		Milan Sassuolo Juventus
Wesley	Roma	D	18	80.64		Titolare	Top	Mod.	40.2	24.78	22.06	0.68	30	6.12	6.47	5	0	5		Lazio Napoli Juventus
Molina N.	Roma	D	18	80.64		Titolare	Top	Bonus	32.55	Prezzo N.D.										Lazio Napoli Juventus
Bremer	Juventus	D	16	79.2		Titolare	Top	Mod.	31.2	22.41	17.64	0.71	26	6.33	6.81	4	3	5		Torino Genoa Roma
Mancini	Roma	D	16	79.2		Titolare	Top	Mod.	23.65	23.08	17.64	0.73	36	6.25	6.51	4	2	9		Lazio Napoli Juventus
Akanji	Inter	D	15	78.3		Mod.	Top	Titolare	24.8	19.54	8.82	0.67	32	6.28	6.41	2	0	4		Milan Sassuolo Juventus
Rrahmani	Napoli	D	15	78.3		Mod.	Top	Infortuni	20.95	17.97	8.82	0.61	21	6.24	6.45	2	0	3		Roma Bologna Frosinone
Bastoni	Inter	D	14	77.42		Titolare	Top	Mod.	26.65	16.65	4.41	0.61	28	6.2	6.34	1	4	6		Milan Sassuolo Juventus
