nome	squadra	rientro	problema	fonti
Yildiz	Juventus	2026-10-10	Sospetta frattura al piede, out per tutto settembre	Sky Sport;SOS Fanta
Mctominay	Napoli	2026-10-11	Infortunio muscolare, rientro dopo la sosta	FantaMaster;Sky Sport
Orsolini	Bologna	2026-09-24	Problema muscolare, salta le prossime giornate	FantaMaster;Sky Sport
Zaniolo	Udinese	2026-10-10	Lesione al bicipite femorale destro rimediata col Como il 22 agosto: salta tutto settembre	Goal;TuttoMercatoWeb;SOS Fanta
Mckennie	Juventus	2026-09-04	Affaticamento muscolare, rientro imminente	FantaMaster
N'Dicka	Roma	2026-09-24	Infortunio, out nelle prime giornate	Sky Sport;FantaMaster
Spence	Inter	2026-09-24	Infortunio, out nelle prime giornate	Sky Sport;FantaMaster
Pellegrini Lo.	Roma	2026-09-24	Infortunio, out nelle prime giornate	Sky Sport
Cambiaso	Juventus	2026-09-24	Infortunio, out nelle prime giornate	FantaMaster
Hien	Atalanta	2026-10-11	Lesione del tendine del semimembranoso della gamba sinistra	Sky Sport;SOS Fanta
Mina	Cagliari	2026-09-24	Infortunio, out nelle prime giornate	FantaMaster
Bernabè	Parma	2026-09-24	Infortunio, out nelle prime giornate	FantaMaster
Buongiorno	Napoli	2026-09-30	Infortunio muscolare	Sky Sport;FantaMaster
Marusic	Lazio	2026-09-19	Problema alla coscia in attesa di accertamenti	Sky Sport
Gallo	Lecce	2026-09-12	Ferita da taglio allo zigomo, in dubbio	Sky Sport
Pessina	Monza	2026-11-07	Operato per lussazione rotulea, rientro previsto a novembre	Goal;SOS Fanta;CalcioD'Angolo
Nicolussi Caviglia	Parma	2026-10-24	Sindrome pubalgica, data di rientro da definire	Sky Sport
Sulemana K.	Atalanta	2026-10-24	Lesione di secondo grado del collaterale mediale del ginocchio sinistro	Sky Sport;SOS Fanta
Dele-Bashiru	Lazio	2026-09-19	Problema muscolare, in dubbio	Sky Sport
Gatti	Juventus	2026-09-12	Risentimento muscolare, in forte dubbio	Sky Sport
Rensch	Roma	2026-09-24	Risentimento al flessore	Sky Sport;FantaMaster
Parisi	Fiorentina	2026-11-01	Ricostruzione del legamento crociato anteriore del ginocchio destro	Sky Sport;SOS Fanta
Cataldi	Lazio	2026-09-12	In fase di recupero atletico, in dubbio	Sky Sport
Ekhator	Juventus	2026-09-19	Lesione al bicipite femorale	Sky Sport
Casale	Bologna	2026-09-24	Infortunio, out nelle prime giornate	FantaMaster
Idrissi R.	Cagliari	2027-03-01	Ricostruzione del legamento crociato anteriore del ginocchio sinistro: stagione di fatto compromessa	Sky Sport;SOS Fanta
Addai	Como	2027-02-01	Operato per la rottura del tendine d'Achille della gamba sinistra	Sky Sport;SOS Fanta
El Azzouzi O.	Bologna	2026-09-24	Lesione del bicipite femorale della coscia sinistra	Sky Sport
Marianucci	Napoli	2026-10-11	Infortunio, rientro dopo la sosta	FantaMaster
Venturino	Genoa	2026-09-04	Operato al ginocchio, rientro imminente	Sky Sport
