nome	squadra	tag	nota	fonti
Scamacca	Atalanta	RIGORISTA;TITOLARE	Primo rigorista, favorito su Krstovic come riferimento centrale del 4-3-3 di Sarri.	SNAI;Sky;SOS Fanta
De Ketelaere	Atalanta	RIGORISTA;RISCHIO	Secondo rigorista, ma stiramento agli adduttori: rientro previsto nella seconda meta' di ottobre.	Goal;SNAI
Hien	Atalanta	RISCHIO	Infortunio muscolare, rientro atteso a ottobre: salta le prime giornate.	Goal;SOS Fanta
Sulemana K.	Atalanta	RISCHIO	Le fonti segnalano un Sulemana dell'Atalanta fuori per lesione al collaterale fino a meta' ottobre, senza distinguere fra i due omonimi: verifica prima di puntarci.	Goal;SOS Fanta
Ederson D.S.	Atalanta	TITOLARE	Rinnovo fino al 2031 dopo il mancato passaggio allo United: perno del centrocampo di Sarri fin da subito.	Sky
Carnesecchi	Atalanta	TITOLARE	Indicato da Sky fra i portieri di prima fascia.	Sky
Gaetano	Atalanta	TITOLARE	Arrivato dal Cagliari, Sarri lo vede in cabina di regia nel 4-3-3.	Sky;Goal
Bellanova	Atalanta	TITOLARE	Confermato titolare anche nella difesa a quattro di Sarri, sulla corsia destra.	Sky
Orsolini	Bologna	RIGORISTA;TITOLARE	Primo rigorista e ala offensiva pura: in doppia cifra la scorsa stagione, e' uno dei veri primi slot di centrocampo.	SNAI;FantaMaster;Goal
Dovbyk	Bologna	NUOVO;TITOLARE	Arriva in prestito dalla Roma con riscatto a 17 milioni: al Bologna trovera' la titolarita' e la continuita' che a Roma non aveva.	Tuttosport;FantaMaster
Skorupski	Bologna	TITOLARE	Confermato fra i pali nel 4-3-3 di Tedesco.	SOS Fanta;bet365
Bernardeschi	Bologna	RIGORISTA;TITOLARE	Terza opzione dal dischetto, ma titolare nel tridente di Tedesco.	SNAI
Fazzini	Cagliari	RIGORISTA;TITOLARE	Si candida come nuovo rigorista dopo l'uscita di Esposito, con Mina e Deiola alle spalle.	SNAI;SOS Fanta
Caprile	Cagliari	TITOLARE	Portiere titolare nel 3-5-2 di Pisacane.	bet365;MAM-e
Trepy	Cagliari	SCOMMESSA	Giovane da un credito, indicato come jolly per l'ultimo slot d'attacco.	Sisal
Da Cunha	Como	RIGORISTA;TITOLARE	Ha scavalcato Nico Paz nelle gerarchie dal dischetto: rigori a un centrocampista gia' da bonus.	SNAI;SOS Fanta
Paz N.	Como	TITOLARE	Uno dei tre primi slot veri di centrocampo insieme a McTominay e Orsolini: nessuna criticita' fantacalcistica secondo Sky.	Sky;FantaMaster
Couto	Como	MODIFICATORE;TITOLARE	Titolare a destra: terzino di grande spinta, porta bonus da cross e assist.	SOS Fanta;FantaMaster
Addai	Como	RISCHIO	Rottura del tendine d'Achille sinistro, gia' operato: salta tutta la prima parte di stagione.	Goal;SOS Fanta
Douvikas	Como	TITOLARE	Punta centrale del 4-2-3-1 di Fabregas, terza opzione dal dischetto.	SNAI;bet365
Butez	Como	TITOLARE	Titolare confermato nel Como di Fabregas.	bet365;MAM-e
Oulai	Fiorentina	NUOVO;SCOMMESSA;TITOLARE	Ivoriano classe 2006, rivelazione del Mondiale 2026, pagato circa 30 milioni: titolare fisso, puo' fare mezzala destra o sinistra.	Goal
Mastantuono	Fiorentina	NUOVO;TITOLARE	Arriva dal Real Madrid, inserito nel tridente titolare di Grosso.	MAM-e;bet365
Valdepenas	Fiorentina	NUOVO;SCOMMESSA	Terzino sinistro dal Real Madrid, gia' titolare in Coppa Italia a due crediti.	Sisal
Dragusin	Fiorentina	NUOVO;TITOLARE	Dal Tottenham, centrale titolare della difesa a quattro.	MAM-e
Jimenez A.	Fiorentina	NUOVO;TITOLARE	Dal Bournemouth, titolare sulla corsia mancina.	MAM-e
Viery	Fiorentina	NUOVO;TITOLARE	Dal Gremio, coppia centrale con Dragusin.	MAM-e
Atta	Fiorentina	TITOLARE	Titolare nel tridente di Grosso dopo l'arrivo dall'Udinese.	MAM-e
De Gea	Fiorentina	TITOLARE	Titolare confermato, voto alto costante.	MAM-e;bet365
Calò	Frosinone	RIGORISTA;SCOMMESSA	Primo rigorista, infallibile dal dischetto in Serie B.	SNAI;SOS Fanta
Raimondo	Frosinone	SCOMMESSA;NUOVO	Torna in Serie A dopo una stagione da 11 reti, seconda opzione dal dischetto.	Sisal;SOS Fanta
Ghedjemis	Frosinone	SCOMMESSA;NUOVO	Arriva dalla Serie B con 15 gol, terzo rigorista.	Sisal;SOS Fanta
Colombo	Genoa	RIGORISTA;TITOLARE	Eredita i rigori di Malinovskyi, davanti a Messias e Vitinha: punta di riferimento di De Rossi.	SNAI;SOS Fanta
Havel	Genoa	SCOMMESSA	Tre crediti per uno che l'anno scorso ha chiuso con 13 gol e 3 assist.	Sisal
Bijlow	Genoa	TITOLARE	Nuovo portiere titolare del Genoa di De Rossi.	MAM-e
Marcandalli	Genoa	TITOLARE	Fra i nuovi su cui punta De Rossi nella difesa a tre.	MAM-e
Calhanoglu	Inter	RIGORISTA;TITOLARE	Primo rigorista senza discussioni davanti a Lautaro e Zielinski: tiro da fuori, punizioni e rigori.	SNAI;Sky;FantaMaster
Martinez L.	Inter	RIGORISTA;TITOLARE	Capitano e attaccante piu' completo del campionato: gol, assist e continuita'. Secondo rigorista. E' il nome che prosciuga il budget.	Sky;FantaMaster;Goal
