squadra	allenatore	modulo	nota
Atalanta	Maurizio Sarri	4-3-3	Nuovo: passa dalla difesa a tre alla difesa a quattro, possesso al posto della verticalita'.
Bologna	Domenico Tedesco	4-3-3	Nuovo, contratto fino al 2028 dopo l'addio di Italiano.
Cagliari	Fabio Pisacane	3-5-2	Confermato.
Como	Cesc Fabregas	4-2-3-1	Confermato malgrado le offerte dall'estero.
Fiorentina	Fabio Grosso	4-3-3	Nuovo.
Frosinone	Massimiliano Alvini	3-5-2	Nuovo, neopromossa.
Genoa	Daniele De Rossi	3-4-2-1	Confermato: punta sui nuovi Bijlow, Marcandalli e Colombo.
Inter	Cristian Chivu	3-5-2	Confermato fino al 2028 dopo scudetto e Coppa Italia.
Juventus	Luciano Spalletti	4-2-3-1	Confermato malgrado il sesto posto; possibile ritorno alla difesa a quattro.
Lazio	Gennaro Gattuso	4-2-3-1	Nuovo al posto di Sarri, contratto biennale.
Lecce	Eusebio Di Francesco	4-3-3	Confermato.
Milan	Ruben Amorim	3-4-2-1	Nuovo dopo l'esonero di Allegri: due trequartisti dietro la punta unica.
Monza	Ivan Juric	3-4-2-1	Nuovo, neopromossa.
Napoli	Massimiliano Allegri	4-3-3	Nuovo: piu' equilibrio fra le linee, meno pressing.
Parma	Carlos Cuesta	3-5-2	Confermato.
Roma	Gian Piero Gasperini	3-4-2-1	Confermato dopo il ritorno in Champions.
Sassuolo	Alberto Aquilani	4-2-3-1	Nuovo.
Torino	Ignazio Abate	3-4-2-1	Nuovo.
Udinese	Kosta Runjaic	3-5-2	Confermato.
Venezia	Giovanni Stroppa	3-5-2	Confermato, neopromossa con un gruppo quasi tutto nuovo.
