nome	squadra	ruolo	pg1	mv1	fm1	gol1	assist1	amm1	gs1	pg2	mv2	fm2	gol2	gs2
Svilar	Roma	P	38	6.26	5.45	0	0	0		38	6.32	5.38	0	
Martinez Jo.	Inter	P	5	6	5.2	0	0	0		5	6.3	5.7	0	
Carnesecchi	Atalanta	P	37	6.36	5.58	0	0	0		34	6.34	5.32	0	
Butez	Como	P	38	6.07	5.37	0	1	3		18	6.22	5.22	0	
Maignan	Milan	P	37	6.26	5.42	0	0	4		37	6.18	5.14	0	
De Gea	Fiorentina	P	37	6.24	5	0	0	0		35	6.34	5.41	0	
Meret	Napoli	P	11	6.23	5.18	0	1	1		34	6.32	5.71	0	
Skorupski	Bologna	P	18	6.19	5.28	0	0	1		27	6.17	5.04	0	
Mandas	Lazio	P	0	0	0	0	0	0		9	6.28	5.5	0	
Caprile	Cagliari	P	38	6.29	4.87	0	0	2		22	6.2	5.16	0	
Di Gregorio			30	6.08	5.33	0	0	1		33	6.15	5.18	0	
Okoye	Udinese	P	30	6.07	5.08	0	1	1		25	6.1	4.4	0	
Bijlow	Genoa	P	16	6.06	4.78	0	0	1						
Falcone	Lecce	P	38	6.41	5.22	0	0	2		38	6.26	4.79	0	
Daffara	Parma	P												
Suzuki			20	6.02	4.75	0	0	1		37	6.22	4.76	0	
Muric	Sassuolo	P	32	6.08	4.77	0	0	4						
Stankovic F.	Venezia	P								15	6.6	5.23	0	
Perin			9	6.11	5.11	0	0	0		5	6.1	5.5	0	
Thiam	Monza	P												
Milinkovic-Savic V.	Napoli	P	27	6.2	5.65	0	0	0		37	6.3	5.45	0	
Palmisani	Frosinone	P												
Desplanches	Frosinone	P												
Provedel	Inter	P	27	6.26	5.35	0	0	1		29	5.98	4.53	0	
Happonen	Bologna	P												
Lolic	Frosinone	P												
Stolz	Genoa	P								0	0	0	0	
Renzetti	Lazio	P												
Pizzignacco										9	6.06	3.94	0	
Strajnar	Monza	P												
De Marzi	Roma	P								0	0	0	0	
